type,name,text,signature,roles,writes,core
procedure,apoc.atomic.subtract,"apoc.atomic.subtract(node/relatonship,propertyName,number) Subtracts the 'number' value to the property's value","apoc.atomic.subtract(container :: ANY?, propertyName :: STRING?, number :: NUMBER?, times = 5 :: INTEGER?) :: (container :: ANY?, property :: STRING?, oldValue :: ANY?, newValue :: ANY?)",null,null,true
procedure,apoc.atomic.update,"apoc.atomic.update(node/relatonship,propertyName,updateOperation) update a property's value with a cypher operation (ex. ""n.prop1+n.prop2"")","apoc.atomic.update(container :: ANY?, propertyName :: STRING?, operation :: STRING?, times = 5 :: INTEGER?) :: (container :: ANY?, property :: STRING?, oldValue :: ANY?, newValue :: ANY?)",null,null,true
procedure,apoc.bolt.execute,"apoc.bolt.execute(url-or-key, kernelTransaction, params, config) - access to other databases via bolt for reads and writes","apoc.bolt.execute(url :: STRING?, kernelTransaction :: STRING?, params = {} :: MAP?, config = {} :: MAP?) :: (row :: MAP?)",null,null,false
procedure,apoc.bolt.load,"apoc.bolt.load(url-or-key, kernelTransaction, params, config) - access to other databases via bolt for read","apoc.bolt.load(url :: STRING?, kernelTransaction :: STRING?, params = {} :: MAP?, config = {} :: MAP?) :: (row :: MAP?)",null,null,false
procedure,apoc.bolt.load.fromLocal,"","apoc.bolt.load.fromLocal(url :: STRING?, localStatement :: STRING?, remoteStatement :: STRING?, config = {} :: MAP?) :: (row :: MAP?)",null,null,false
procedure,apoc.case,"apoc.case([condition, query, condition, query, ...], elseQuery:'', params:{}) yield value - given a list of conditional / read-only query pairs, executes the query associated with the first conditional evaluating to true (or the else query if none are true) with the given parameters","apoc.case(conditionals :: LIST? OF ANY?, elseQuery =  :: STRING?, params = {} :: MAP?) :: (value :: MAP?)",null,null,true
procedure,apoc.cluster.graph,"","apoc.cluster.graph() :: (nodes :: LIST? OF NODE?, relationships :: LIST? OF RELATIONSHIP?)",null,null,false
procedure,apoc.coll.elements,"apoc.coll.elements(list,limit,offset) yield _1,_2,..,_10,_1s,_2i,_3f,_4m,_5l,_6n,_7r,_8p - deconstruct subset of mixed list into identifiers of the correct type","apoc.coll.elements(values :: LIST? OF ANY?, limit = -1 :: INTEGER?, offset = 0 :: INTEGER?) :: (_1 :: ANY?, _2 :: ANY?, _3 :: ANY?, _4 :: ANY?, _5 :: ANY?, _6 :: ANY?, _7 :: ANY?, _8 :: ANY?, _9 :: ANY?, _10 :: ANY?, _1s :: STRING?, _2s :: STRING?, _3s :: STRING?, _4s :: STRING?, _5s :: STRING?, _6s :: STRING?, _7s :: STRING?, _8s :: STRING?, _9s :: STRING?, _10s :: STRING?, _1i :: INTEGER?, _2i :: INTEGER?, _3i :: INTEGER?, _4i :: INTEGER?, _5i :: INTEGER?, _6i :: INTEGER?, _7i :: INTEGER?, _8i :: INTEGER?, _9i :: INTEGER?, _10i :: INTEGER?, _1f :: FLOAT?, _2f :: FLOAT?, _3f :: FLOAT?, _4f :: FLOAT?, _5f :: FLOAT?, _6f :: FLOAT?, _7f :: FLOAT?, _8f :: FLOAT?, _9f :: FLOAT?, _10f :: FLOAT?, _1b :: BOOLEAN?, _2b :: BOOLEAN?, _3b :: BOOLEAN?, _4b :: BOOLEAN?, _5b :: BOOLEAN?, _6b :: BOOLEAN?, _7b :: BOOLEAN?, _8b :: BOOLEAN?, _9b :: BOOLEAN?, _10b :: BOOLEAN?, _1l :: LIST? OF ANY?, _2l :: LIST? OF ANY?, _3l :: LIST? OF ANY?, _4l :: LIST? OF ANY?, _5l :: LIST? OF ANY?, _6l :: LIST? OF ANY?, _7l :: LIST? OF ANY?, _8l :: LIST? OF ANY?, _9l :: LIST? OF ANY?, _10l :: LIST? OF ANY?, _1m :: MAP?, _2m :: MAP?, _3m :: MAP?, _4m :: MAP?, _5m :: MAP?, _6m :: MAP?, _7m :: MAP?, _8m :: MAP?, _9m :: MAP?, _10m :: MAP?, _1n :: NODE?, _2n :: NODE?, _3n :: NODE?, _4n :: NODE?, _5n :: NODE?, _6n :: NODE?, _7n :: NODE?, _8n :: NODE?, _9n :: NODE?, _10n :: NODE?, _1r :: RELATIONSHIP?, _2r :: RELATIONSHIP?, _3r :: RELATIONSHIP?, _4r :: RELATIONSHIP?, _5r :: RELATIONSHIP?, _6r :: RELATIONSHIP?, _7r :: RELATIONSHIP?, _8r :: RELATIONSHIP?, _9r :: RELATIONSHIP?, _10r :: RELATIONSHIP?, _1p :: PATH?, _2p :: PATH?, _3p :: PATH?, _4p :: PATH?, _5p :: PATH?, _6p :: PATH?, _7p :: PATH?, _8p :: PATH?, _9p :: PATH?, _10p :: PATH?, elements :: INTEGER?)",null,null,true
procedure,apoc.coll.pairWithOffset,"apoc.coll.pairWithOffset(values, offset) - returns a list of pairs defined by the offset","apoc.coll.pairWithOffset(values :: LIST? OF ANY?, offset :: INTEGER?) :: (value :: LIST? OF ANY?)",null,null,true
procedure,apoc.coll.partition,"apoc.coll.partition(list,batchSize)","apoc.coll.partition(values :: LIST? OF ANY?, batchSize :: INTEGER?) :: (value :: LIST? OF ANY?)",null,null,true
procedure,apoc.coll.split,"apoc.coll.split(list,value) | splits collection on given values rows of lists, value itself will not be part of resulting lists","apoc.coll.split(values :: LIST? OF ANY?, value :: ANY?) :: (value :: LIST? OF ANY?)",null,null,true
procedure,apoc.coll.zipToRows,"apoc.coll.zipToRows(list1,list2) - creates pairs like zip but emits one row per pair","apoc.coll.zipToRows(list1 :: LIST? OF ANY?, list2 :: LIST? OF ANY?) :: (value :: LIST? OF ANY?)",null,null,true
procedure,apoc.config.list,"apoc.config.list | Lists the Neo4j configuration as key,value table","apoc.config.list() :: (key :: STRING?, value :: ANY?)",null,null,false
procedure,apoc.config.map,apoc.config.map | Lists the Neo4j configuration as map,apoc.config.map() :: (value :: MAP?),null,null,false
procedure,apoc.convert.setJsonProperty,"apoc.convert.setJsonProperty(node,key,complexValue) - sets value serialized to JSON as property with the given name on the node","apoc.convert.setJsonProperty(node :: NODE?, key :: STRING?, value :: ANY?) :: VOID",null,null,true
procedure,apoc.convert.toTree,"apoc.convert.toTree([paths],[lowerCaseRels=true], [config]) creates a stream of nested documents representing the at least one root of these paths","apoc.convert.toTree(paths :: LIST? OF PATH?, lowerCaseRels = true :: BOOLEAN?, config = {} :: MAP?) :: (value :: MAP?)",null,null,true
procedure,apoc.couchbase.append,"apoc.couchbase.append(hostOrKey, bucket, documentId, content) yield id, expiry, cas, mutationToken, content - append a couchbase json document to an existing one.","apoc.couchbase.append(hostOrKey :: STRING?, bucket :: STRING?, documentId :: STRING?, content :: BYTEARRAY?, config = {} :: MAP?) :: (content :: BYTEARRAY?, id :: STRING?, expiry :: INTEGER?, cas :: INTEGER?, mutationToken :: MAP?)",null,null,false
procedure,apoc.couchbase.exists,"apoc.couchbase.exists(hostOrKey, bucket, documentId) yield value - check whether a couchbase json document with the given ID does exist.","apoc.couchbase.exists(hostOrKey :: STRING?, bucket :: STRING?, documentId :: STRING?, config = {} :: MAP?) :: (value :: BOOLEAN?)",null,null,false
procedure,apoc.couchbase.get,"apoc.couchbase.get(hostOrKey, bucket, documentId) yield id, expiry, cas, mutationToken, content - retrieves a couchbase json document by its unique ID.","apoc.couchbase.get(hostOrKey :: STRING?, bucket :: STRING?, documentId :: STRING?, config = {} :: MAP?) :: (content :: MAP?, id :: STRING?, expiry :: INTEGER?, cas :: INTEGER?, mutationToken :: MAP?)",null,null,false
procedure,apoc.couchbase.insert,"apoc.couchbase.insert(hostOrKey, bucket, documentId, jsonDocument) yield id, expiry, cas, mutationToken, content - insert a couchbase json document with its unique ID.","apoc.couchbase.insert(hostOrKey :: STRING?, bucket :: STRING?, documentId :: STRING?, json :: STRING?, config = {} :: MAP?) :: (content :: MAP?, id :: STRING?, expiry :: INTEGER?, cas :: INTEGER?, mutationToken :: MAP?)",null,null,false
procedure,apoc.couchbase.namedParamsQuery,"apoc.couchbase.namedParamsQuery(hostkOrKey, bucket, statement, paramNames, paramValues) yield queryResult - executes a N1QL statement with named parameters.","apoc.couchbase.namedParamsQuery(hostOrKey :: STRING?, bucket :: STRING?, statement :: STRING?, paramNames :: LIST? OF STRING?, paramValues :: LIST? OF ANY?, config = {} :: MAP?) :: (queryResult :: LIST? OF MAP?)",null,null,false
procedure,apoc.couchbase.posParamsQuery,"apoc.couchbase.posParamsQuery(hostOrKey, bucket, statement, params) yield queryResult - executes a N1QL statement with positional parameters.","apoc.couchbase.posParamsQuery(hostOrKey :: STRING?, bucket :: STRING?, statement :: STRING?, params :: LIST? OF ANY?, config = {} :: MAP?) :: (queryResult :: LIST? OF MAP?)",null,null,false
procedure,apoc.couchbase.prepend,"apoc.couchbase.prepend(hostOrKey, bucket, documentId, content) yield id, expiry, cas, mutationToken, content - prepend a couchbase json document to an existing one.","apoc.couchbase.prepend(hostOrKey :: STRING?, bucket :: STRING?, documentId :: STRING?, content :: BYTEARRAY?, config = {} :: MAP?) :: (content :: BYTEARRAY?, id :: STRING?, expiry :: INTEGER?, cas :: INTEGER?, mutationToken :: MAP?)",null,null,false
procedure,apoc.couchbase.query,"apoc.couchbase.query(hostOrKey, bucket, statement) yield queryResult - executes a plain un-parameterized N1QL statement.","apoc.couchbase.query(hostOrKey :: STRING?, bucket :: STRING?, statement :: STRING?, config = {} :: MAP?) :: (queryResult :: LIST? OF MAP?)",null,null,false
procedure,apoc.couchbase.remove,"apoc.couchbase.remove(hostOrKey, bucket, documentId) yield id, expiry, cas, mutationToken, content - remove the couchbase json document identified by its unique ID.","apoc.couchbase.remove(hostOrKey :: STRING?, bucket :: STRING?, documentId :: STRING?, config = {} :: MAP?) :: (content :: MAP?, id :: STRING?, expiry :: INTEGER?, cas :: INTEGER?, mutationToken :: MAP?)",null,null,false
procedure,apoc.couchbase.replace,"apoc.couchbase.replace(hostOrKey, bucket, documentId, jsonDocument) yield id, expiry, cas, mutationToken, content - replace the content of the couchbase json document identified by its unique ID.","apoc.couchbase.replace(hostOrKey :: STRING?, bucket :: STRING?, documentId :: STRING?, json :: STRING?, config = {} :: MAP?) :: (content :: MAP?, id :: STRING?, expiry :: INTEGER?, cas :: INTEGER?, mutationToken :: MAP?)",null,null,false
procedure,apoc.couchbase.upsert,"apoc.couchbase.upsert(hostOrKey, bucket, documentId, jsonDocument) yield id, expiry, cas, mutationToken, content - insert or overwrite a couchbase json document with its unique ID.","apoc.couchbase.upsert(hostOrKey :: STRING?, bucket :: STRING?, documentId :: STRING?, json :: STRING?, config = {} :: MAP?) :: (content :: MAP?, id :: STRING?, expiry :: INTEGER?, cas :: INTEGER?, mutationToken :: MAP?)",null,null,false
procedure,apoc.create.addLabels,"apoc.create.addLabels( [node,id,ids,nodes], ['Label',...]) - adds the given labels to the node or nodes","apoc.create.addLabels(nodes :: ANY?, label :: LIST? OF STRING?) :: (node :: NODE?)",null,null,true
procedure,apoc.create.clonePathToVirtual,apoc.create.clonePathToVirtual,apoc.create.clonePathToVirtual(path :: PATH?) :: (path :: PATH?),null,null,true
procedure,apoc.create.clonePathsToVirtual,apoc.create.clonePathsToVirtual,apoc.create.clonePathsToVirtual(paths :: LIST? OF PATH?) :: (path :: PATH?),null,null,true
procedure,apoc.create.node,"apoc.create.node(['Label'], {key:value,...}) - create node with dynamic labels","apoc.create.node(label :: LIST? OF STRING?, props :: MAP?) :: (node :: NODE?)",null,null,true
procedure,apoc.create.nodes,"apoc.create.nodes(['Label'], [{key:value,...}]) create multiple nodes with dynamic labels","apoc.create.nodes(label :: LIST? OF STRING?, props :: LIST? OF MAP?) :: (node :: NODE?)",null,null,true
procedure,apoc.create.relationship,"apoc.create.relationship(person1,'KNOWS',{key:value,...}, person2) create relationship with dynamic rel-type","apoc.create.relationship(from :: NODE?, relType :: STRING?, props :: MAP?, to :: NODE?) :: (rel :: RELATIONSHIP?)",null,null,true
procedure,apoc.create.removeLabels,"apoc.create.removeLabels( [node,id,ids,nodes], ['Label',...]) - removes the given labels from the node or nodes","apoc.create.removeLabels(nodes :: ANY?, label :: LIST? OF STRING?) :: (node :: NODE?)",null,null,true
procedure,apoc.create.removeProperties,"apoc.create.removeProperties( [node,id,ids,nodes], [keys]) - removes the given properties from the nodes(s)","apoc.create.removeProperties(nodes :: ANY?, keys :: LIST? OF STRING?) :: (node :: NODE?)",null,null,true
procedure,apoc.create.removeRelProperties,"apoc.create.removeRelProperties( [rel,id,ids,rels], [keys]) - removes the given properties from the relationship(s)","apoc.create.removeRelProperties(rels :: ANY?, keys :: LIST? OF STRING?) :: (rel :: RELATIONSHIP?)",null,null,true
procedure,apoc.create.setLabels,"apoc.create.setLabels( [node,id,ids,nodes], ['Label',...]) - sets the given labels, non matching labels are removed on the node or nodes","apoc.create.setLabels(nodes :: ANY?, label :: LIST? OF STRING?) :: (node :: NODE?)",null,null,true
procedure,apoc.create.setProperties,"apoc.create.setProperties( [node,id,ids,nodes], [keys], [values]) - sets the given properties on the nodes(s)","apoc.create.setProperties(nodes :: ANY?, keys :: LIST? OF STRING?, values :: LIST? OF ANY?) :: (node :: NODE?)",null,null,true
procedure,apoc.create.setProperty,"apoc.create.setProperty( [node,id,ids,nodes], key, value) - sets the given property on the node(s)","apoc.create.setProperty(nodes :: ANY?, key :: STRING?, value :: ANY?) :: (node :: NODE?)",null,null,true
procedure,apoc.create.setRelProperties,"apoc.create.setRelProperties( [rel,id,ids,rels], [keys], [values]) - sets the given properties on the relationship(s)","apoc.create.setRelProperties(rels :: ANY?, keys :: LIST? OF STRING?, values :: LIST? OF ANY?) :: (rel :: RELATIONSHIP?)",null,null,true
procedure,apoc.create.setRelProperty,"apoc.create.setRelProperty( [rel,id,ids,rels], key, value) - sets the given property on the relationship(s)","apoc.create.setRelProperty(relationships :: ANY?, key :: STRING?, value :: ANY?) :: (rel :: RELATIONSHIP?)",null,null,true
procedure,apoc.create.uuids,apoc.create.uuids(count) yield uuid - creates 'count' UUIDs ,"apoc.create.uuids(count :: INTEGER?) :: (row :: INTEGER?, uuid :: STRING?)",null,null,true
procedure,apoc.create.vNode,"apoc.create.vNode(['Label'], {key:value,...}) returns a virtual node","apoc.create.vNode(label :: LIST? OF STRING?, props :: MAP?) :: (node :: NODE?)",null,null,true
procedure,apoc.create.vNodes,"apoc.create.vNodes(['Label'], [{key:value,...}]) returns virtual nodes","apoc.create.vNodes(label :: LIST? OF STRING?, props :: LIST? OF MAP?) :: (node :: NODE?)",null,null,true
procedure,apoc.create.vPattern,"apoc.create.vPattern({_labels:['LabelA'],key:value},'KNOWS',{key:value,...}, {_labels:['LabelB'],key:value}) returns a virtual pattern","apoc.create.vPattern(from :: MAP?, relType :: STRING?, props :: MAP?, to :: MAP?) :: (from :: NODE?, rel :: RELATIONSHIP?, to :: NODE?)",null,null,true
procedure,apoc.create.vPatternFull,"apoc.create.vPatternFull(['LabelA'],{key:value},'KNOWS',{key:value,...},['LabelB'],{key:value}) returns a virtual pattern","apoc.create.vPatternFull(labelsN :: LIST? OF STRING?, n :: MAP?, relType :: STRING?, props :: MAP?, labelsM :: LIST? OF STRING?, m :: MAP?) :: (from :: NODE?, rel :: RELATIONSHIP?, to :: NODE?)",null,null,true
procedure,apoc.create.vRelationship,"apoc.create.vRelationship(nodeFrom,'KNOWS',{key:value,...}, nodeTo) returns a virtual relationship","apoc.create.vRelationship(from :: NODE?, relType :: STRING?, props :: MAP?, to :: NODE?) :: (rel :: RELATIONSHIP?)",null,null,true
procedure,apoc.create.virtualPath,"apoc.create.virtualPath(['LabelA'],{key:value},'KNOWS',{key:value,...},['LabelB'],{key:value}) returns a virtual path of nodes joined by a relationship and the associated properties","apoc.create.virtualPath(labelsN :: LIST? OF STRING?, n :: MAP?, relType :: STRING?, props :: MAP?, labelsM :: LIST? OF STRING?, m :: MAP?) :: (from :: NODE?, rel :: RELATIONSHIP?, to :: NODE?)",null,null,true
procedure,apoc.custom.asFunction,"apoc.custom.asFunction(name, statement, outputs, inputs, forceSingle, description) - register a custom cypher function","apoc.custom.asFunction(name :: STRING?, statement :: STRING?, outputs =  :: STRING?, inputs = null :: LIST? OF LIST? OF STRING?, forceSingle = false :: BOOLEAN?, description =  :: STRING?) :: VOID",null,null,false
procedure,apoc.custom.asProcedure,"apoc.custom.asProcedure(name, statement, mode, outputs, inputs, description) - register a custom cypher procedure","apoc.custom.asProcedure(name :: STRING?, statement :: STRING?, mode = read :: STRING?, outputs = null :: LIST? OF LIST? OF STRING?, inputs = null :: LIST? OF LIST? OF STRING?, description =  :: STRING?) :: VOID",null,null,false
procedure,apoc.custom.declareFunction,"apoc.custom.declareFunction(signature, statement, forceSingle, description) - register a custom cypher function","apoc.custom.declareFunction(signature :: STRING?, statement :: STRING?, forceSingle = false :: BOOLEAN?, description =  :: STRING?) :: VOID",null,null,false
procedure,apoc.custom.declareProcedure,"apoc.custom.declareProcedure(signature, statement, mode, description) - register a custom cypher procedure","apoc.custom.declareProcedure(signature :: STRING?, statement :: STRING?, mode = read :: STRING?, description =  :: STRING?) :: VOID",null,null,false
procedure,apoc.custom.list,apoc.custom.list() - provide a list of custom procedures/function registered,"apoc.custom.list() :: (type :: STRING?, name :: STRING?, description :: STRING?, mode :: STRING?, statement :: STRING?, inputs :: LIST? OF LIST? OF STRING?, outputs :: ANY?, forceSingle :: BOOLEAN?)",null,null,false
procedure,apoc.custom.removeFunction,"apoc.custom.removeFunction(name, type) - remove the targeted custom function",apoc.custom.removeFunction(name :: STRING?) :: VOID,null,null,false
procedure,apoc.custom.removeProcedure,apoc.custom.removeProcedure(name) - remove the targeted custom procedure,apoc.custom.removeProcedure(name :: STRING?) :: VOID,null,null,false
procedure,apoc.cypher.doIt,"apoc.cypher.doIt(fragment, params) yield value - executes writing fragment with the given parameters","apoc.cypher.doIt(cypher :: STRING?, params :: MAP?) :: (value :: MAP?)",null,null,true
procedure,apoc.cypher.mapParallel,"apoc.cypher.mapParallel(fragment, params, list-to-parallelize) yield value - executes fragment in parallel batches with the list segments being assigned to _","apoc.cypher.mapParallel(fragment :: STRING?, params :: MAP?, list :: LIST? OF ANY?) :: (value :: MAP?)",null,null,false
procedure,apoc.cypher.mapParallel2,"apoc.cypher.mapParallel2(fragment, params, list-to-parallelize) yield value - executes fragment in parallel batches with the list segments being assigned to _","apoc.cypher.mapParallel2(fragment :: STRING?, params :: MAP?, list :: LIST? OF ANY?, partitions :: INTEGER?, timeout = 10 :: INTEGER?) :: (value :: MAP?)",null,null,false
procedure,apoc.cypher.parallel,"","apoc.cypher.parallel(fragment :: STRING?, params :: MAP?, parallelizeOn :: STRING?) :: (value :: MAP?)",null,null,false
procedure,apoc.cypher.parallel2,"","apoc.cypher.parallel2(fragment :: STRING?, params :: MAP?, parallelizeOn :: STRING?) :: (value :: MAP?)",null,null,false
procedure,apoc.cypher.run,"apoc.cypher.run(fragment, params) yield value - executes reading fragment with the given parameters - currently no schema operations","apoc.cypher.run(cypher :: STRING?, params :: MAP?) :: (value :: MAP?)",null,null,true
procedure,apoc.cypher.runFile,"apoc.cypher.runFile(file or url,[{statistics:true,timeout:10,parameters:{}}]) - runs each statement in the file, all semicolon separated - currently no schema operations","apoc.cypher.runFile(file :: STRING?, config = {} :: MAP?) :: (row :: INTEGER?, result :: MAP?)",null,null,false
procedure,apoc.cypher.runFiles,"apoc.cypher.runFiles([files or urls],[{statistics:true,timeout:10,parameters:{}}])) - runs each statement in the files, all semicolon separated","apoc.cypher.runFiles(file :: LIST? OF STRING?, config = {} :: MAP?) :: (row :: INTEGER?, result :: MAP?)",null,null,false
procedure,apoc.cypher.runMany,"apoc.cypher.runMany('cypher;\nstatements;',{params},[{statistics:true,timeout:10}]) - runs each semicolon separated statement and returns summary - currently no schema operations","apoc.cypher.runMany(cypher :: STRING?, params :: MAP?, config = {} :: MAP?) :: (row :: INTEGER?, result :: MAP?)",null,null,true
procedure,apoc.cypher.runSchema,"apoc.cypher.runSchema(statement, params) yield value - executes query schema statement with the given parameters","apoc.cypher.runSchema(cypher :: STRING?, params :: MAP?) :: (value :: MAP?)",null,null,true
procedure,apoc.cypher.runSchemaFile,"apoc.cypher.runSchemaFile(file or url,[{statistics:true,timeout:10}]) - allows only schema operations, runs each schema statement in the file, all semicolon separated","apoc.cypher.runSchemaFile(file :: STRING?, config = {} :: MAP?) :: (row :: INTEGER?, result :: MAP?)",null,null,false
procedure,apoc.cypher.runSchemaFiles,"apoc.cypher.runSchemaFiles([files or urls],{statistics:true,timeout:10}) - allows only schema operations, runs each schema statement in the files, all semicolon separated","apoc.cypher.runSchemaFiles(file :: LIST? OF STRING?, config = {} :: MAP?) :: (row :: INTEGER?, result :: MAP?)",null,null,false
procedure,apoc.cypher.runTimeboxed,"apoc.cypher.runTimeboxed('cypherStatement',{params}, timeout) - abort kernelTransaction after timeout ms if not finished","apoc.cypher.runTimeboxed(cypher :: STRING?, params :: MAP?, timeout :: INTEGER?) :: (value :: MAP?)",null,null,true
procedure,apoc.cypher.runWrite,"apoc.cypher.runWrite(statement, params) yield value - alias for apoc.cypher.doIt","apoc.cypher.runWrite(cypher :: STRING?, params :: MAP?) :: (value :: MAP?)",null,null,true
procedure,apoc.date.expire,"CALL apoc.date.expire(node,time,'time-unit') - expire node at specified time by setting :TTL label and `ttl` property","apoc.date.expire(node :: NODE?, time :: INTEGER?, timeUnit :: STRING?) :: VOID",null,null,false
procedure,apoc.date.expireIn,"CALL apoc.date.expireIn(node,time,'time-unit') - expire node after specified length of time time by setting :TTL label and `ttl` property","apoc.date.expireIn(node :: NODE?, timeDelta :: INTEGER?, timeUnit :: STRING?) :: VOID",null,null,false
procedure,apoc.do.case,"apoc.do.case([condition, query, condition, query, ...], elseQuery:'', params:{}) yield value - given a list of conditional / writing query pairs, executes the query associated with the first conditional evaluating to true (or the else query if none are true) with the given parameters","apoc.do.case(conditionals :: LIST? OF ANY?, elseQuery =  :: STRING?, params = {} :: MAP?) :: (value :: MAP?)",null,null,true
procedure,apoc.do.when,"apoc.do.when(condition, ifQuery, elseQuery:'', params:{}) yield value - based on the conditional, executes writing ifQuery or elseQuery with the given parameters","apoc.do.when(condition :: BOOLEAN?, ifQuery :: STRING?, elseQuery =  :: STRING?, params = {} :: MAP?) :: (value :: MAP?)",null,null,true
procedure,apoc.dv.catalog.add,Add a virtualized resource configuration,"apoc.dv.catalog.add(name :: STRING?, config = {} :: MAP?) :: (name :: STRING?, type :: STRING?, url :: STRING?, desc :: STRING?, labels :: LIST? OF STRING?, query :: STRING?, params :: LIST? OF STRING?)",null,null,false
procedure,apoc.dv.catalog.list,List all virtualized resource configuration,"apoc.dv.catalog.list() :: (name :: STRING?, type :: STRING?, url :: STRING?, desc :: STRING?, labels :: LIST? OF STRING?, query :: STRING?, params :: LIST? OF STRING?)",null,null,false
procedure,apoc.dv.catalog.remove,Remove a virtualized resource config by name,"apoc.dv.catalog.remove(name :: STRING?) :: (name :: STRING?, type :: STRING?, url :: STRING?, desc :: STRING?, labels :: LIST? OF STRING?, query :: STRING?, params :: LIST? OF STRING?)",null,null,false
procedure,apoc.dv.query,Query a virtualized resource by name and return virtual nodes,"apoc.dv.query(name :: STRING?, params = {} :: ANY?, config = {} :: MAP?) :: (node :: NODE?)",null,null,false
procedure,apoc.dv.queryAndLink,Query a virtualized resource by name and return virtual nodes linked using virtual rels to the node passed as first param,"apoc.dv.queryAndLink(node :: NODE?, relName :: STRING?, name :: STRING?, params = {} :: ANY?, config = {} :: MAP?) :: (path :: PATH?)",null,null,false
procedure,apoc.es.get,"apoc.es.get(host-or-port,index-or-null,type-or-null,id-or-null,query-or-null,payload-or-null) yield value - perform a GET operation on elastic search","apoc.es.get(host :: STRING?, index :: STRING?, type :: STRING?, id :: STRING?, query :: ANY?, payload :: ANY?) :: (value :: MAP?)",null,null,false
procedure,apoc.es.getRaw,"apoc.es.getRaw(host-or-port,path,payload-or-null) yield value - perform a raw GET operation on elastic search","apoc.es.getRaw(host :: STRING?, path :: STRING?, payload :: ANY?) :: (value :: MAP?)",null,null,false
